date,predicted_index,real_price,regime_probability,simn,mn_ore,chn_electricity,met_coal,dry_bulk_freight,steel_etf,usd_inr,pick
2026-05-01,111.1582,120.2632,0.7693,98124.73068404887,556.7662420301551,1215.543883679804,100.0,100.0,97.87539181272759,93.9484755237164,62.94164579620504
2026-05-08,113.2508,122.5271,0.7408,105125.68533548166,548.9424650560558,1247.5756976723205,100.0,100.0,96.78915122340895,95.3856967528556,64.1213753806009
2026-05-15,110.9126,119.9975,0.7138,97943.68461775602,553.1087536325414,1212.713400469162,100.0,100.0,101.79729767133266,95.46624636095555,61.2695566777226
2026-05-22,111.6214,120.7642,0.6881,105563.90054844657,556.3379359158969,1253.2360273210672,100.0,100.0,102.86493625202276,95.3076971134316,62.49735827190793
2026-05-29,115.4389,124.8944,0.6637,105246.1514635496,545.6954846958506,1207.3154306310266,100.0,100.0,103.24261492131835,94.41331235227969,66.63154981976345
2026-06-05,116.7928,126.3592,0.6405,102965.15605833057,543.8327169101171,1173.6239328662268,100.0,100.0,104.15657790966176,95.16900853975949,67.19095835526137
2026-06-12,114.7894,124.1918,0.6185,108732.37644765698,543.4945586871756,1207.20887592044,100.0,100.0,103.93532496428065,95.04811484297633,69.66427782230691
2026-06-19,114.0966,123.4422,0.5976,102971.48383502857,534.8661778206072,1224.318475637985,100.0,100.0,101.80781901794956,95.64149795405034,69.39609260562409
2026-06-26,113.5913,122.8955,0.5777,107826.31241354022,532.9217821607324,1287.8410411807072,100.0,100.0,103.97987896952789,96.40807990340339,73.7075055931656
2026-07-03,114.4472,123.8215,0.5588,110005.16567487895,552.0453654216117,1283.4579756404007,100.0,100.0,112.07834466774901,95.75572104782786,79.27455335199278
2026-07-10,115.1157,124.5448,0.5409,109960.7592193531,559.1025655883869,1281.3142349643358,100.0,100.0,107.44740524715539,96.4011181961684,76.75127734936393
2026-07-17,114.3656,123.7333,0.5238,107905.91160706937,561.3119169203613,1249.420907121112,100.0,100.0,98.10631181122294,98.40229305438314,76.53729918002641
2026-07-24,113.9653,123.3001,0.5076,102856.52924759888,566.8250095400716,1276.061564386418,100.0,100.0,97.47451658432036,98.02872015434569,75.15318598534647
2026-07-31,114.1085,123.4551,0.4922,108813.90274428304,571.6380492068126,1316.9900672084786,100.0,100.0,99.22218069201737,99.27071117159748,75.25999678265279
2026-08-07,113.8988,123.2282,0.4776,120255.26355665091,591.5312277030397,1328.5962429187982,100.0,100.0,104.21136946823566,99.06864862416407,72.24673590364365
2026-08-14,117.4836,127.1067,0.4637,128113.7089176505,616.5782847778586,1376.3964652727443,100.0,100.0,98.71006554744012,98.08378731307815,73.64167502577118
2026-08-21,120.4305,130.2949,0.4506,126327.21903106185,634.2532648425903,1392.6181170514749,100.0,100.0,99.9262748455343,98.48777762118095,71.22358165826415
2026-08-28,117.9093,127.5672,0.438,115583.58543770007,624.0926373436992,1423.8314114994719,100.0,100.0,100.68459072822448,97.95508026947165,72.79586066703342
2026-09-04,115.8109,125.297,0.4261,110269.31498026136,614.0562295874436,1325.2832968403038,100.0,100.0,97.30351128544999,98.77458374543384,69.6906824175235
2026-09-11,114.2321,123.5888,0.4148,114983.86374173746,616.1242476701277,1271.2513570509573,100.0,100.0,92.31373542062846,97.52581971516548,72.18126497430818
2026-09-18,113.6336,122.9413,0.4041,124432.29905362392,615.3606716074696,1247.6796623349128,100.0,100.0,96.80055929573682,97.83234565343236,73.31010509669767
2026-09-25,113.3973,122.6856,0.3939,133191.67685693875,610.1823223555435,1241.919725094825,100.0,100.0,103.56197150940451,97.96621722676392,76.2116483668199
2026-10-02,115.9418,125.4386,0.3842,126755.45502686793,618.1330175436234,1257.5901020275935,100.0,100.0,99.61739922455064,97.78839626010618,70.47878917871832
2026-10-09,113.9812,123.3173,0.375,130548.80611576614,602.7651970328227,1249.2456581140607,100.0,100.0,107.16639823788671,97.70575783808556,68.69337879942353
2026-10-16,114.475,123.8516,0.3662,135066.18892631802,582.9312888203056,1257.0993548943009,100.0,100.0,108.8626083180499,97.54169306069569,73.32257608745378
2026-10-23,114.0895,123.4345,0.3579,143043.35545119975,589.8340337985911,1284.1071775387052,100.0,100.0,114.34821843231697,98.11209999191985,76.38712951531106
2026-10-30,116.2594,125.7822,0.35,127846.86319305403,604.186481908188,1176.902314819586,100.0,100.0,108.97828880234347,97.41624605861008,68.3945760972226
2026-11-06,112.3488,121.5512,0.3425,138702.6678301323,609.5070589635166,1145.0496391026559,100.0,100.0,106.10629241448274,96.63397806970247,70.97142138403709
